OPC-N2 FirmwareVer=OPC-016b...............................BD
Config info:
GSC,1.000
LaserDAC,150
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.150,0.401,0.893,1.646,3.208,8.529,22.449,47.712,99.541,199.531,381.703,696.909,1150.346,1767.145,2460.611
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.3981013333
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),T(C),P(Pa),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.148,25.7,101141,1.373,0.290,0.305,0.305
9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,27,0,0,3.168,25.7,101136,1.380,0.367,0.596,0.607
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.168,25.7,101142,1.380,0.184,0.189,0.189
10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,27,0,0,3.164,25.7,101138,1.381,0.339,0.560,0.571
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.165,25.7,101139,1.380,0.324,0.340,0.340
11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3.165,25.7,101142,1.380,0.418,0.837,0.860
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.165,25.7,101141,1.372,0.402,0.471,0.472
10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3.162,25.7,101141,1.381,0.365,0.447,0.449
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.162,25.7,101137,1.380,0.277,0.285,0.285
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.162,25.7,101136,1.381,0.221,0.228,0.228
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.162,25.7,101137,1.381,0.073,0.076,0.076
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.147,25.7,101141,1.381,0.280,0.302,0.302
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.157,25.7,101131,1.373,0.196,0.209,0.209
9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,43,0,3.175,25.8,101136,1.380,0.290,1.117,1.370
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3.163,25.8,101139,1.380,0.355,0.430,0.431
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.169,25.8,101138,1.380,0.370,0.395,0.395
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.169,25.8,101135,1.380,0.073,0.075,0.075
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.145,25.8,101140,1.381,0.402,0.435,0.435
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.151,25.8,101138,1.373,0.284,0.357,0.358
9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3.139,25.8,101140,1.380,0.389,0.523,0.525
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.131,25.8,101138,1.380,0.290,0.305,0.305
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.167,25.8,101137,1.380,0.252,0.280,0.280
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.189,25.8,101140,1.380,0.415,0.448,0.448
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.189,25.8,101139,1.380,0.342,0.409,0.410
14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.210,25.8,101141,1.381,0.479,0.571,0.572
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.210,25.8,101143,1.373,0.201,0.207,0.207
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.206,25.8,101136,1.381,0.283,0.298,0.298
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.206,25.8,101142,1.380,0.200,0.206,0.206
13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,3.206,25.8,101141,1.381,0.389,0.608,0.620
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.206,25.8,101138,1.380,0.164,0.168,0.168
8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.211,25.8,101137,1.381,0.238,0.259,0.259
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.211,25.8,101136,1.373,0.268,0.333,0.334
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.225,25.8,101142,1.381,0.366,0.440,0.441
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.238,25.8,101140,1.380,0.218,0.238,0.238
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.242,25.8,101135,1.380,0.226,0.239,0.239
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.247,25.8,101140,1.380,0.226,0.239,0.239
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.247,25.8,101136,1.380,0.108,0.111,0.111
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.251,25.8,101138,1.374,0.280,0.295,0.295
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.269,25.8,101140,1.380,0.236,0.305,0.306
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.269,25.8,101141,1.380,0.196,0.202,0.202
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.267,25.8,101140,1.381,0.288,0.310,0.310
17,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,0,29,41,3.289,25.9,101141,1.380,0.475,2.780,8.870
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.307,25.8,101139,1.380,0.365,0.396,0.396
12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3.281,25.9,101138,1.373,0.435,0.524,0.525
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.281,25.9,101140,1.380,0.231,0.238,0.238
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3.304,25.9,101137,1.381,0.310,0.326,0.326
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.298,25.9,101141,1.380,0.346,0.363,0.363
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.300,25.9,101136,1.380,0.320,0.343,0.343
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.300,25.9,101138,1.380,0.383,0.450,0.451
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.300,25.9,101143,1.374,0.213,0.219,0.219
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.303,25.9,101138,1.381,0.375,0.448,0.449
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.303,25.9,101141,1.380,0.206,0.267,0.268
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.303,25.9,101139,1.381,0.247,0.254,0.254
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.303,25.9,101142,1.381,0.430,0.553,0.555
12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.310,25.9,101138,1.381,0.302,0.324,0.324
5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,3.318,25.9,101141,1.324,0.171,1.596,3.123
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.318,25.9,101140,1.380,0.211,0.217,0.217
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.321,25.9,101136,1.381,0.355,0.427,0.428
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.321,25.9,101140,1.380,0.158,0.162,0.162
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.329,25.9,101142,1.381,0.150,0.161,0.161
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.306,25.9,101134,1.380,0.355,0.379,0.379
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.306,25.9,101140,1.373,0.207,0.268,0.269
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,3.286,25.9,101137,1.381,0.241,0.254,0.254
8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.317,25.9,101140,1.380,0.441,0.583,0.585
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.321,25.9,101135,1.380,0.203,0.216,0.216
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.321,25.9,101137,1.380,0.158,0.773,28.120
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,3.275,26.0,101143,1.380,0.378,0.452,0.453
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.284,26.0,101140,1.372,0.290,0.361,0.362
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.283,26.0,101142,1.380,0.378,0.451,0.452
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.283,26.0,101139,1.380,0.213,0.219,0.219
11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.295,26.0,101139,1.381,0.451,0.588,0.590
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.303,26.0,101131,1.380,0.257,0.271,0.271
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.316,26.0,101140,1.380,0.203,0.216,0.216
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.310,26.0,101139,1.380,0.322,0.393,0.393
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.308,26.0,101137,1.373,0.240,0.254,0.254
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.320,26.0,101136,1.380,0.336,0.359,0.359
6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.328,26.0,101132,1.380,0.330,0.813,0.867
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.331,26.0,101136,1.380,0.185,0.197,0.197
13,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,22,25,0,0,3.333,26.0,101136,1.380,0.693,1.183,62.464
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333,26.0,101131,1.380,0.362,0.427,0.428
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.345,26.0,101134,1.374,0.150,0.161,0.161
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.366,26.0,101137,1.380,0.331,0.354,0.354
9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,27,0,3.373,26.0,101133,1.380,0.273,1.052,1.290
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.381,26.0,101131,1.380,0.246,0.313,0.314
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.400,26.0,101131,1.380,0.259,0.280,0.280
10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,0,3.409,26.0,101140,1.380,0.358,0.571,0.582
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.409,26.0,101141,1.373,0.224,0.230,0.230
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,3.411,26.0,101142,1.381,0.349,0.554,0.565
5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.411,26.0,101138,1.380,0.246,0.359,0.361
