Software ver: OPC-N2 Alphasense 1.0.5591.26628
Size LUT file,OPC-N2_06-02-2015.LUT
InfoString,OPC-N2 FirmwareVer=OPC-016b...............................BD
Gain scaling coeff,1
Laser digital pot setting,150
Fan digital pot setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin low boundary (ADC o/p),12,17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Bin low boundary (particle diameter [um]),0.38,0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16
Bin high boundary (particle diameter [um]),0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,17.5
Bin centre (particle diameter [um]),0.46000000834465,0.659999996423721,0.914999961853027,1.19499999284744,1.4650000333786,1.8299999833107,2.5349999666214,3.5,4.5,5.75,7.25,9,11,13,15,16.75
Vol of a particle in bin (um3) (calculated by software),0.0510,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.5410,199.5320,381.7035,696.9100,1150.3465,1767.1459,2460.6115
Vol of a particle in bin (um3) (values stored on OPC),0.0510,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.5410,199.5320,381.7035,696.9100,1150.3466,1767.1459,2460.6116
Density of a particle in bin (g/ml),1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
Sample volume weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42236.3627063426,8.479,1.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,0.00,0.00,0.00,9.539,0.944,3.48,101157,0.26,0.28,0.28,0.45,0.58,2.38
42236.3627179167,9.220,0.000,0.000,2.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,8.67,0.00,0.00,11.269,0.976,3.48,27,0.49,1.03,1.06,0.45,0.59,2.34
42236.3627294907,8.198,2.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,0.00,0.00,0.00,10.248,0.976,3.47,101161,0.31,0.34,0.34,0.45,0.58,2.27
42236.3627410648,15.265,3.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.67,0.00,0.00,0.00,18.318,0.983,3.48,27,0.53,0.58,0.58,0.45,0.58,2.21
42236.3627526389,10.187,0.000,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,11.206,0.982,3.48,101155,0.35,0.43,0.43,0.45,0.58,2.15
42236.362764213,6.078,3.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,9.117,0.987,3.50,27,0.32,0.36,0.36,0.44,0.57,2.10
42236.362775787,4.130,1.032,1.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0.00,0.00,0.00,6.195,0.969,3.50,101157,0.27,0.36,0.36,0.44,0.56,2.05
42236.3627873611,13.244,3.056,0.000,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.67,7.67,0.00,0.00,17.319,0.982,3.51,27,0.62,0.92,0.94,0.44,0.58,2.01
42236.3627989352,8.233,1.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.33,0.00,0.00,0.00,9.263,0.972,3.53,101151,0.25,0.26,0.26,0.44,0.57,1.96
42236.3628105093,9.226,0.000,1.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,10.251,0.976,3.53,27,0.32,0.40,0.40,0.43,0.56,1.92
42236.3628220833,4.075,2.038,0.000,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,7.67,0.00,0.00,7.131,0.982,3.53,101162,0.35,0.63,0.65,0.43,0.56,1.89
42236.3628336574,11.207,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,0.00,0.00,0.00,12.226,0.982,3.54,27,0.31,0.33,0.33,0.43,0.56,1.84
42236.3628452315,8.157,1.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.67,0.00,0.00,0.00,9.177,0.981,3.52,101161,0.25,0.26,0.26,0.42,0.55,1.80
42236.3628568056,7.039,0.000,1.006,1.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,14.33,0.00,0.00,9.050,0.994,3.52,27,0.40,0.74,0.76,0.42,0.55,1.78
42236.3628683796,10.312,1.031,0.000,1.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,15.00,0.00,0.00,12.375,0.970,3.52,101160,0.43,0.72,0.73,0.42,0.56,1.75
42236.3628799537,8.272,1.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,9.306,0.967,3.53,27,0.25,0.27,0.27,0.42,0.55,1.72
42236.3628915278,6.125,1.021,2.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0.00,0.00,0.00,9.187,0.980,3.54,101163,0.42,0.58,0.58,0.42,0.55,1.69
42236.3629032755,11.137,2.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0.00,0.00,0.00,13.161,0.988,3.58,27,0.37,0.40,0.40,0.42,0.55,1.66
42236.3629146759,11.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,11.527,0.954,3.58,101165,0.26,0.27,0.27,0.41,0.54,1.63
42236.36292625,12.225,1.019,1.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,0.00,0.00,0.00,14.262,0.982,3.57,27,0.44,0.54,0.54,0.42,0.54,1.61
42236.3629378241,12.225,2.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.00,0.00,0.00,0.00,14.263,0.982,3.59,101160,0.39,0.42,0.42,0.41,0.54,1.58
42236.3629493982,7.136,1.019,2.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,10.194,0.981,3.57,27,0.44,0.60,0.60,0.42,0.54,1.56
42236.3629609722,12.217,6.108,0.000,1.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,7.67,0.00,0.00,19.343,0.982,3.60,101161,0.76,1.08,1.10,0.42,0.55,1.55
